,Balance,Item,Date
0,7948335.0,Securities,2023-03-08
1,7926131.0,Securities,2023-03-29
2,307032.0,Premiums,2023-03-08
3,304958.0,Premiums,2023-03-29
4,-27844.0,Discounts,2023-03-08
5,-27421.0,Discounts,2023-03-29
6,0.0,Other repurchase,2023-03-08
7,55000.0,Other repurchase,2023-03-29
8,15209.0,Liquidity facilities,2023-03-08
9,342667.0,Liquidity facilities,2023-03-29
10,22431.0,Other 1,2023-03-08
11,22304.0,Other 1,2023-03-29
12,1941.0,Other 2,2023-03-08
13,1946.0,Other 2,2023-03-29
14,5594.0,Other 3,2023-03-08
15,5602.0,Other 3,2023-03-29
16,-771.0,Other 4,2023-03-08
17,-474.0,Other 4,2023-03-29
18,11037.0,Other 5,2023-03-08
19,11037.0,Other 5,2023-03-29
20,18206.0,Other 6,2023-03-08
21,18745.0,Other 6,2023-03-29
22,5200.0,Other 7,2023-03-08
23,5200.0,Other 7,2023-03-29
24,33377.0,Other 8,2023-03-08
25,37849.0,Other 8,2023-03-29
26,51597.0,Other 9,2023-03-08
27,51639.0,Other 9,2023-03-29
28,411.0,CB liquidity swaps,2023-03-08
29,585.0,CB liquidity swaps,2023-03-29
30,2560350.0,Reverse repo,2023-03-08
31,2632542.0,Reverse repo,2023-03-29
32,3003676.0,Bank deposits,2023-03-08
33,3401800.0,Bank deposits,2023-03-29
34,2307964.0,Currency,2023-03-08
35,2323580.0,Currency,2023-03-29
36,492278.0,Other deposits,2023-03-08
37,376963.0,Other deposits,2023-03-29
38,131.0,Other Liability 1,2023-03-08
39,167.0,Other Liability 1,2023-03-29
40,15347.0,Other Liability 2,2023-03-08
41,15347.0,Other Liability 2,2023-03-29
42,12016.0,Other Liability 3,2023-03-08
43,5373.0,Other Liability 3,2023-03-29
